population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,10,0.2,0.1,0.01,0.01,5,42,5.546,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,10,0.2,0.1,0.01,0.01,5,43,5.6645,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.2,0.1,0.01,0.01,5,44,5.5379,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.1,0.01,0.01,8,42,7.3242,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.01,0.01,8,43,7.6526,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.01,0.01,8,44,7.5976,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,10,0.2,0.1,0.05,0.05,5,42,5.7548,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.05,0.05,5,43,5.9365,0.5599,0.5421,3.18,0.5227,578.4783,1892.6024,3,3
10,10,0.2,0.1,0.05,0.05,5,44,5.6309,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.1,0.05,0.05,8,42,7.4641,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.1,0.05,0.05,8,43,7.71,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
10,10,0.2,0.1,0.05,0.05,8,44,7.751,0.5599,0.5421,3.18,0.5228,578.0157,1893.7008,3,3
10,10,0.2,0.14,0.01,0.01,5,42,6.127,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.01,0.01,5,43,5.7926,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.01,0.01,5,44,5.7005,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.14,0.01,0.01,8,42,7.7357,0.5599,0.542,3.2,0.5227,577.9221,1893.9836,3,3
10,10,0.2,0.14,0.01,0.01,8,43,7.6707,0.5599,0.5419,3.21,0.5228,577.9943,1893.7484,3,3
10,10,0.2,0.14,0.01,0.01,8,44,7.7295,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.14,0.05,0.05,5,42,6.02,0.5599,0.5421,3.18,0.5228,578.0218,1893.684,3,3
10,10,0.2,0.14,0.05,0.05,5,43,5.8624,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.05,0.05,5,44,5.9773,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.2,0.14,0.05,0.05,8,42,7.9071,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.05,0.05,8,43,7.7811,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.14,0.05,0.05,8,44,7.8669,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.28,0.1,0.01,0.01,5,42,5.9156,0.5599,0.5422,3.16,0.5227,577.9964,1893.7751,3,3
10,10,0.28,0.1,0.01,0.01,5,43,6.2773,0.5599,0.5421,3.18,0.5228,577.9029,1894.0123,3,3
10,10,0.28,0.1,0.01,0.01,5,44,6.2311,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.28,0.1,0.01,0.01,8,42,8.3335,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.28,0.1,0.01,0.01,8,43,8.2462,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.28,0.1,0.01,0.01,8,44,8.5016,0.5599,0.542,3.2,0.5226,578.0556,1893.6,3,3
10,10,0.28,0.1,0.05,0.05,5,42,7.1166,0.5599,0.5422,3.16,0.5227,577.9964,1893.7751,3,3
10,10,0.28,0.1,0.05,0.05,5,43,7.2692,0.5599,0.5421,3.18,0.5228,577.9029,1894.0123,3,3
10,10,0.28,0.1,0.05,0.05,5,44,6.6128,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.28,0.1,0.05,0.05,8,42,8.6156,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.1,0.05,0.05,8,43,8.6959,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.28,0.1,0.05,0.05,8,44,11.2308,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,5,42,8.7405,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,10,0.28,0.14,0.01,0.01,5,43,8.4742,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,5,44,8.3644,0.5599,0.5421,3.18,0.5226,578.4011,1892.5909,3,3
10,10,0.28,0.14,0.01,0.01,8,42,11.3259,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,8,43,11.4074,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,8,44,11.0921,0.5599,0.5418,3.23,0.5227,577.9084,1894.0136,3,3
10,10,0.28,0.14,0.05,0.05,5,42,8.1231,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,10,0.28,0.14,0.05,0.05,5,43,7.9888,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.05,0.05,5,44,8.2393,0.5599,0.5421,3.18,0.5226,578.4011,1892.5909,3,3
10,10,0.28,0.14,0.05,0.05,8,42,10.6524,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.05,0.05,8,43,10.6531,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,10,0.28,0.14,0.05,0.05,8,44,10.5704,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,25,0.2,0.1,0.01,0.01,5,42,8.2219,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.1,0.01,0.01,5,43,8.2219,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.01,0.01,5,44,8.302,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.01,0.01,8,42,10.4505,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.01,0.01,8,43,8.8582,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.01,0.01,8,44,9.0079,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.2,0.1,0.05,0.05,5,42,6.998,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.1,0.05,0.05,5,43,7.1033,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.05,0.05,5,44,8.3872,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.05,0.05,8,42,10.8682,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.05,0.05,8,43,10.736,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.05,0.05,8,44,10.891,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.2,0.14,0.01,0.01,5,42,7.9692,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.14,0.01,0.01,5,43,8.0856,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.01,0.01,5,44,8.0094,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.01,0.01,8,42,11.1363,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,25,0.2,0.14,0.01,0.01,8,43,10.7893,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.14,0.01,0.01,8,44,10.9899,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,25,0.2,0.14,0.05,0.05,5,42,7.9477,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.14,0.05,0.05,5,43,8.0699,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.05,0.05,5,44,7.9795,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.05,0.05,8,42,11.4278,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,25,0.2,0.14,0.05,0.05,8,43,10.7363,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.14,0.05,0.05,8,44,10.8715,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,25,0.28,0.1,0.01,0.01,5,42,7.9749,0.5599,0.5421,3.18,0.5227,578.0036,1893.7307,3,3
10,25,0.28,0.1,0.01,0.01,5,43,7.7798,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
10,25,0.28,0.1,0.01,0.01,5,44,8.4705,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.28,0.1,0.01,0.01,8,42,10.5955,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,25,0.28,0.1,0.01,0.01,8,43,10.5384,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,25,0.28,0.1,0.01,0.01,8,44,10.8284,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.28,0.1,0.05,0.05,5,42,7.9876,0.5599,0.5421,3.18,0.5227,578.0036,1893.7307,3,3
10,25,0.28,0.1,0.05,0.05,5,43,7.7206,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
10,25,0.28,0.1,0.05,0.05,5,44,8.4031,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.28,0.1,0.05,0.05,8,42,10.7503,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,25,0.28,0.1,0.05,0.05,8,43,10.6573,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,25,0.28,0.1,0.05,0.05,8,44,10.9101,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.28,0.14,0.01,0.01,5,42,8.1158,0.5599,0.5421,3.18,0.5227,578.0036,1893.7307,3,3
10,25,0.28,0.14,0.01,0.01,5,43,7.8812,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
10,25,0.28,0.14,0.01,0.01,5,44,8.2206,0.5599,0.5419,3.21,0.5227,578.4674,1892.6245,3,3
10,25,0.28,0.14,0.01,0.01,8,42,10.146,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.28,0.14,0.01,0.01,8,43,10.2087,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.28,0.14,0.01,0.01,8,44,10.0286,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,25,0.28,0.14,0.05,0.05,5,42,7.4171,0.5599,0.5421,3.18,0.5227,578.0036,1893.7307,3,3
10,25,0.28,0.14,0.05,0.05,5,43,7.3925,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
10,25,0.28,0.14,0.05,0.05,5,44,7.8436,0.5599,0.5419,3.21,0.5227,578.4674,1892.6245,3,3
10,25,0.28,0.14,0.05,0.05,8,42,9.9567,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.28,0.14,0.05,0.05,8,43,10.3873,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.28,0.14,0.05,0.05,8,44,10.4342,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,10,0.2,0.1,0.01,0.01,5,42,11.153,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.1,0.01,0.01,5,43,11.4236,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.2,0.1,0.01,0.01,5,44,11.3051,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.2,0.1,0.01,0.01,8,42,15.6838,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.2,0.1,0.01,0.01,8,43,15.6327,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,10,0.2,0.1,0.01,0.01,8,44,15.7132,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.2,0.1,0.05,0.05,5,42,11.1647,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.1,0.05,0.05,5,43,11.3539,0.5599,0.5418,3.23,0.5227,577.9128,1894.0013,3,3
20,10,0.2,0.1,0.05,0.05,5,44,11.3973,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,10,0.2,0.1,0.05,0.05,8,42,16.6371,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
20,10,0.2,0.1,0.05,0.05,8,43,16.2393,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,10,0.2,0.1,0.05,0.05,8,44,15.6215,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
20,10,0.2,0.14,0.01,0.01,5,42,11.1883,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.01,0.01,5,43,11.6308,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.01,0.01,5,44,11.2414,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.01,0.01,8,42,15.8771,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.2,0.14,0.01,0.01,8,43,15.6272,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
20,10,0.2,0.14,0.01,0.01,8,44,15.6566,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.2,0.14,0.05,0.05,5,42,11.2601,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.05,0.05,5,43,11.3186,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.05,0.05,5,44,11.2416,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.05,0.05,8,42,15.5636,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.2,0.14,0.05,0.05,8,43,15.5995,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,10,0.2,0.14,0.05,0.05,8,44,15.7612,0.5599,0.5418,3.23,0.5227,577.9084,1894.0136,3,3
20,10,0.28,0.1,0.01,0.01,5,42,11.509,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.28,0.1,0.01,0.01,5,43,11.5131,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,10,0.28,0.1,0.01,0.01,5,44,11.3502,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.28,0.1,0.01,0.01,8,42,15.9385,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,10,0.28,0.1,0.01,0.01,8,43,15.8384,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.28,0.1,0.01,0.01,8,44,15.7809,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.28,0.1,0.05,0.05,5,42,11.5179,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.28,0.1,0.05,0.05,5,43,11.6091,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.28,0.1,0.05,0.05,5,44,11.7512,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.28,0.1,0.05,0.05,8,42,16.3735,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.28,0.1,0.05,0.05,8,43,16.5145,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.28,0.1,0.05,0.05,8,44,16.4574,0.5599,0.542,3.2,0.5227,577.9403,1893.937,3,3
20,10,0.28,0.14,0.01,0.01,5,42,11.8721,0.5599,0.5421,3.18,0.5227,577.8906,1894.0456,3,3
20,10,0.28,0.14,0.01,0.01,5,43,11.9221,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,10,0.28,0.14,0.01,0.01,5,44,11.9519,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
20,10,0.28,0.14,0.01,0.01,8,42,16.0267,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
20,10,0.28,0.14,0.01,0.01,8,43,16.2635,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,10,0.28,0.14,0.01,0.01,8,44,15.9018,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,10,0.28,0.14,0.05,0.05,5,42,11.2665,0.5599,0.5421,3.18,0.5227,577.8906,1894.0456,3,3
20,10,0.28,0.14,0.05,0.05,5,43,11.3366,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
20,10,0.28,0.14,0.05,0.05,5,44,11.6985,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
20,10,0.28,0.14,0.05,0.05,8,42,15.7207,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,10,0.28,0.14,0.05,0.05,8,43,15.6934,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
